4.070135,5.233679,2.028421,5.502075,5.381727,2.008388,4.770637,1.830682,2.125912,4.821144,4.290513,2.140319,4.002386,5.026985,2.07009,5.513976,5.097686,2.017742
4.07154,5.234642,2.028149,5.494728,5.380129,2.007351,4.766968,1.829299,2.125661,4.821096,4.289698,2.140337,4.00379,5.027947,2.069818,5.50662,5.096098,2.016697
4.071755,5.234829,2.028121,5.500437,5.381456,2.007725,4.76589,1.829222,2.125571,4.821319,4.289333,2.140359,4.004005,5.028135,2.069791,5.512328,5.097439,2.017067
4.071731,5.234476,2.028062,5.50215,5.382695,2.007856,4.765124,1.829705,2.125527,4.82197,4.289438,2.140379,4.003982,5.027781,2.069731,5.51404,5.098692,2.017195
4.071826,5.234416,2.028048,5.501475,5.382004,2.00776,4.765293,1.829623,2.125452,4.822057,4.289165,2.140368,4.004076,5.027721,2.069717,5.513364,5.098016,2.017095
4.07188,5.234336,2.028028,5.499455,5.379787,2.007595,4.765739,1.829687,2.12545,4.822883,4.288214,2.140381,4.004131,5.027643,2.069697,5.511343,5.095814,2.016928
4.053951,5.202579,2.031745,5.497399,5.378994,2.007159,4.765303,1.830423,2.125258,4.823689,4.28865,2.140315,3.986942,5.00536,2.072418,5.509286,5.095036,2.01649
4.059718,5.210253,2.029932,5.497226,5.378957,2.007172,4.765598,1.830336,2.125237,4.823785,4.288518,2.140281,3.991983,5.003732,2.071583,5.509112,5.095016,2.016502
4.07154,5.234642,2.028149,5.494728,5.380129,2.007351,4.766968,1.829299,2.125661,4.821096,4.289698,2.140337,4.00379,5.027947,2.069818,5.50662,5.096098,2.016697
4.071755,5.234829,2.028121,5.500437,5.381456,2.007725,4.76589,1.829222,2.125571,4.821319,4.289333,2.140359,4.004005,5.028135,2.069791,5.512328,5.097439,2.017067
4.071731,5.234476,2.028062,5.50215,5.382695,2.007856,4.765124,1.829705,2.125527,4.82197,4.289438,2.140379,4.003982,5.027781,2.069731,5.51404,5.098692,2.017195
4.071826,5.234416,2.028048,5.501475,5.382004,2.00776,4.765293,1.829623,2.125452,4.822057,4.289165,2.140368,4.004076,5.027721,2.069717,5.513364,5.098016,2.017095
4.07188,5.234336,2.028028,5.499455,5.379787,2.007595,4.765739,1.829687,2.12545,4.822883,4.288214,2.140381,4.004131,5.027643,2.069697,5.511343,5.095814,2.016928
4.053951,5.202579,2.031745,5.497399,5.378994,2.007159,4.765303,1.830423,2.125258,4.823689,4.28865,2.140315,3.986942,5.00536,2.072418,5.509286,5.095036,2.01649
4.059718,5.210253,2.029932,5.497226,5.378957,2.007172,4.765598,1.830336,2.125237,4.823785,4.288518,2.140281,3.991983,5.003732,2.071583,5.509112,5.095016,2.016502
4.062138,5.213235,2.029068,5.497072,5.378852,2.007168,4.764221,1.831412,2.124852,4.824643,4.289121,2.140166,3.994702,5.010103,2.070355,5.508958,5.094926,2.016496
4.071755,5.234829,2.028121,5.500437,5.381456,2.007725,4.76589,1.829222,2.125571,4.821319,4.289333,2.140359,4.004005,5.028135,2.069791,5.512328,5.097439,2.017067
4.071731,5.234476,2.028062,5.50215,5.382695,2.007856,4.765124,1.829705,2.125527,4.82197,4.289438,2.140379,4.003982,5.027781,2.069731,5.51404,5.098692,2.017195
4.071826,5.234416,2.028048,5.501475,5.382004,2.00776,4.765293,1.829623,2.125452,4.822057,4.289165,2.140368,4.004076,5.027721,2.069717,5.513364,5.098016,2.017095
4.07188,5.234336,2.028028,5.499455,5.379787,2.007595,4.765739,1.829687,2.12545,4.822883,4.288214,2.140381,4.004131,5.027643,2.069697,5.511343,5.095814,2.016928
4.053951,5.202579,2.031745,5.497399,5.378994,2.007159,4.765303,1.830423,2.125258,4.823689,4.28865,2.140315,3.986942,5.00536,2.072418,5.509286,5.095036,2.01649
4.059718,5.210253,2.029932,5.497226,5.378957,2.007172,4.765598,1.830336,2.125237,4.823785,4.288518,2.140281,3.991983,5.003732,2.071583,5.509112,5.095016,2.016502
4.062138,5.213235,2.029068,5.497072,5.378852,2.007168,4.764221,1.831412,2.124852,4.824643,4.289121,2.140166,3.994702,5.010103,2.070355,5.508958,5.094926,2.016496
4.072688,5.227996,2.025301,5.497413,5.37839,2.007072,4.764649,1.831576,2.124756,4.825473,4.289571,2.140069,4.004939,5.021303,2.06697,5.509299,5.09448,2.0164
